Country,tenure_mode,year,value
Ireland,Owner with mortgage,2016,26.971572637557983
Ireland,Owner with mortgage,2017,26.09648108482361
Ireland,Owner with mortgage,2018,26.096174120903015
Ireland,Owner with mortgage,2019,25.4747211933136
Ireland,Owner with mortgage,2020,28.694316744804382
Ireland,Owner with mortgage,2021,NA
Ireland,Rent (private),2010,11.402145028114319
Ireland,Rent (private),2011,13.889947533607483
Ireland,Rent (private),2012,14.97926265001297
Ireland,Rent (private),2013,15.33811241388321
Ireland,Rent (private),2014,15.171073377132416
Ireland,Rent (private),2015,13.25584203004837
Ireland,Rent (private),2016,11.2541064620018
Ireland,Rent (private),2017,10.648060590028763
Ireland,Rent (private),2018,10.883403569459915
Ireland,Rent (private),2019,8.208633959293365
Ireland,Rent (private),2020,10.714542120695114
Ireland,Rent (private),2021,NA
Ireland,Rent (subsidized),2010,14.27348107099533
